PartnerName,Id,Title,Description,Brand,Link,ImageLink,CategoryName,Mrp,OfferPrice,EffectivePrice,Availability,PartnerIdFromUrl,PartnerIdFromDb
ZopNow,,Select Fried Sardin In Garlic & Pepper Sauce 100 g,,Select,https://www.zopnow.com/select-fried-sardin-in-garlic-pepper-sauce1-v-100-g-p.php,http://p1.zopnow.com/images/products/140/select-fried-sardin-in-garlic-pepper-sauce1-v-100-g.png,International Condiments,150,150,,true,/select-fried-sardin-in-garlic-pepper-sauce1-v-100-g-p.php,10025752
ZopNow,,Keya Rosemary Herbs 13 g,,Keya,https://www.zopnow.com/keya-rosemary-herbs-v-13-g-p.php,http://p1.zopnow.com/images/products/140/keya-rosemary-herbs-v-13-g.png,Italian Spice,95,95,,true,/keya-rosemary-herbs-v-13-g-p.php,10004144
ZopNow,,Veeba Caesar Dressing 300 g,,Veeba,https://www.zopnow.com/veeba-caesar-dressing-v-300-g-p.php,http://p2.zopnow.com/images/products/140/veeba-caesar-dressing-v-300-g-3.png,Sauce,119,119,,true,/veeba-caesar-dressing-v-300-g-p.php,10033067
ZopNow,,Herbs & Spices Parsley 10 g,,Herbs & Spices,https://www.zopnow.com/herbs-spices-parsley-v-10-g-p.php,http://p1.zopnow.com/images/products/140/herbs-spices-parsley-v-10-g.png,International Condiments,44,44,,true,/herbs-spices-parsley-v-10-g-p.php,10014332
ZopNow,,Del Monte Premium Pitted Prunes California~ 210 g,,Del Monte,https://www.zopnow.com/del-monte-premium-pitted-prunes-california1-v-210-g-p.php,http://p2.zopnow.com/images/products/140/del-monte-premium-pitted-prunes-california1-v-210-g.png,International Condiments,270,270,,true,/del-monte-premium-pitted-prunes-california1-v-210-g-p.php,10027931
ZopNow,,Keya Parsley Herbs 15 g,,Keya,https://www.zopnow.com/keya-parsley-herbs-v-15-g-p.php,http://p1.zopnow.com/images/products/140/keya-parsley-herbs-v-15-g.png,Italian Spice,95,95,,true,/keya-parsley-herbs-v-15-g-p.php,10004152
ZopNow,,Nutty Creamy Peanut Butter 325 g,,Nutty,https://www.zopnow.com/nutty-creamy-peanut-butter-v-325-g-p.php,http://p1.zopnow.com/images/products/140/nutty-creamy-peanut-butter-v-325-g.png,Peanut Butter,170,170,,true,/nutty-creamy-peanut-butter-v-325-g-p.php,10017854
ZopNow,,Swastik Citron Pickle 500 g,,Swastik,https://www.zopnow.com/swastik-citron-pickle-v-500-g-p.php,http://p2.zopnow.com/images/products/140/swastik-citron-pickle-v-500-g-3.png,Pickle,115,115,,true,/swastik-citron-pickle-v-500-g-p.php,10036403
ZopNow,,Ruchi Magic Mango Avakkai Pickle 300 g,,Ruchi,https://www.zopnow.com/ruchi-mango-avakkai-pickle-jar-v-300-g-p.php,http://p2.zopnow.com/images/products/140/ruchi-mango-avakkai-pickle-jar-v-300-g-1.png,Pickle,62,62,,true,/ruchi-mango-avakkai-pickle-jar-v-300-g-p.php,10046793
ZopNow,,Ruchi Magic Cut Mango Pickle 200 g,,Ruchi,https://www.zopnow.com/ruchi-magic-cut-mango-pickle-v-200-g-p.php,http://p1.zopnow.com/images/products/140/ruchi-magic-cut-mango-pickle-v-200-g.png,Pickle,52,52,,true,/ruchi-magic-cut-mango-pickle-v-200-g-p.php,10046786
ZopNow,,Ruchi Magic Cut Mango Pickle 300 g,,Ruchi,https://www.zopnow.com/ruchi-magic-cut-mango-pickle-v-300-g-p.php,http://p2.zopnow.com/images/products/140/ruchi-magic-cut-mango-pickle-v-300-g-3.png,Pickle,62,62,,true,/ruchi-magic-cut-mango-pickle-v-300-g-p.php,10046789
ZopNow,,Select Sardine In Mustard Sauce 100 g,,Select,https://www.zopnow.com/select-sardine-in-mustard-sauce-v-100-g-p.php,http://p1.zopnow.com/images/products/140/select-sardine-in-mustard-sauce-v-100-g-1.png,International Condiments,150,150,,true,/select-sardine-in-mustard-sauce-v-100-g-p.php,10025750
ZopNow,,Real Thai Sriracha Hot Chilli Sauce 180 ml,,Real Thai,https://www.zopnow.com/real-thai-sriracha-hot-chilli-sauce1-v-180-ml-p.php,http://p2.zopnow.com/images/products/140/real-thai-sriracha-hot-chilli-sauce-v-180-ml.png,Sauce,175,175,,true,/real-thai-sriracha-hot-chilli-sauce1-v-180-ml-p.php,10018845
ZopNow,,Real Thai Sriracha Hot Chilli Sauce 430 ml,,Real Thai,https://www.zopnow.com/real-thai-sriracha-hot-chilli-sauce1-v-430-ml-p.php,http://p1.zopnow.com/images/products/140/real-thai-sriracha-hot-chilli-sauce1-v-430-ml.png,Sauce,260,260,,true,/real-thai-sriracha-hot-chilli-sauce1-v-430-ml-p.php,10019934
ZopNow,,Aachi Avakkai Pickle 300 g,,Aachi,https://www.zopnow.com/aachi-avakkai-pickle-v-300-g-p.php,http://p2.zopnow.com/images/products/140/aachi-avakkai-pickle-v-300-g.png,Pickle,62,62,,true,/aachi-avakkai-pickle-v-300-g-p.php,10046841
ZopNow,,On1y Salad Seasoning Grinder 45 g,,On1y,https://www.zopnow.com/on1y-salad-seasoning-grinder-v-45-g-p.php,http://p1.zopnow.com/images/products/140/on1y-salad-seasoning-grinder-v-45-g.png,Italian Spice,109,109,,true,/on1y-salad-seasoning-grinder-v-45-g-p.php,10011604
ZopNow,,Conscious Food Apple Cider Vinegar (Mother) Natural 500 ml,,Conscious,https://www.zopnow.com/conscious-food-apple-cider-vinegar-mother-natural-v-500-ml-p.php,http://p1.zopnow.com/images/products/140/conscious-food-apple-cider-vinegar-mother-natural-v-500-ml-2.png,Vinegar,811,811,,true,/conscious-food-apple-cider-vinegar-mother-natural-v-500-ml-p.php,10054312
ZopNow,,Hypercity Supremia Sliced Cranberry 250 g,,Hypercity,https://www.zopnow.com/hypercity-supremia-sliced-cranberry-v-250-g-p.php,http://p1.zopnow.com/images/products/140/hypercity-supremia-sliced-cranberry-v-250-g.png,International Condiments,249,249,,true,/hypercity-supremia-sliced-cranberry-v-250-g-p.php,10033278
ZopNow,,American Garden U. S. Mayonnaise 887 ml,,American Garden,https://www.zopnow.com/american-garden-u-s-mayonnaise-v-887-ml-p.php,http://p1.zopnow.com/images/products/140/american-garden-u-s-mayonnaise-v-887-ml.png,Mayonnaise,450,450,,true,/american-garden-u-s-mayonnaise-v-887-ml-p.php,10014076
ZopNow,,Spraymintt Icymint Mouth Freshener 15 g,,Spraymintt,https://www.zopnow.com/spraymintt-icymint-mouth-freshner-v-15-g-p.php,http://p1.zopnow.com/images/products/140/1325225375-Picture-1043-copy.png,Mouth Fresheners,75,75,,true,/spraymintt-icymint-mouth-freshner-v-15-g-p.php,10002128
ZopNow,,Tastilo Cheesy Crispy 60 g,,Tastilo,https://www.zopnow.com/tastilo-cheesy-crispy-v-60-g-p.php,http://p2.zopnow.com/images/products/140/tastilo-cheesy-crispy-v-60-g.png,International Condiments,35,35,,false,/tastilo-cheesy-crispy-v
