PartnerName,Id,Title,Description,Brand,Link,ImageLink,CategoryName,Mrp,OfferPrice,EffectivePrice,Availability,PartnerIdFromUrl,PartnerIdFromDb
Flipkart,,Pink Chick Tiara With Comb Hair Claw(Silver),,Pink Chick,http://dl.flipkart.com/dl/pink-chick-tiara-comb-hair-claw/p/itmejkqcpprpdcxx?pid=HACEJKQC37CSDE6E&affid=siddarthk,http://img.fkcdn.com/image/hair-accessory/e/6/e/79-1-pink-chick-tiara-with-comb-200x200-imaejjfmfwfmprn4.jpeg,Health and Beauty>Hair Care>Hair Care Accessories>Hair Accessories,550.0,550.0,550.0,true,HACEJKQC37CSDE6E,HACEJKQC37CSDE6E
Flipkart,,Pink Chick Tiara With Comb Hair Claw(Silver),,Pink Chick,http://dl.flipkart.com/dl/pink-chick-tiara-comb-hair-claw/p/itmejkqb787aym5h?pid=HACEJKQBYTH4NK8Y&affid=siddarthk,http://img.fkcdn.com/image/hair-accessory/k/8/y/77-1-pink-chick-tiara-with-comb-200x200-imaejjfeyjuvgsrr.jpeg,Health and Beauty>Hair Care>Hair Care Accessories>Hair Accessories,550.0,550.0,550.0,true,HACEJKQBYTH4NK8Y,HACEJKQBYTH4NK8Y
Flipkart,,Pink Chick Tiara With Comb Hair Claw(Silver),,Pink Chick,http://dl.flipkart.com/dl/pink-chick-tiara-comb-hair-claw/p/itmejkqcuuhfg2tc?pid=HACEJKQCY8HKZGQG&affid=siddarthk,http://img.fkcdn.com/image/hair-accessory/g/q/g/81-1-pink-chick-tiara-with-comb-200x200-imaejjfqgy3xzd5r.jpeg,Health and Beauty>Hair Care>Hair Care Accessories>Hair Accessories,550.0,550.0,550.0,true,HACEJKQCY8HKZGQG,HACEJKQCY8HKZGQG
Flipkart,,Pink Chick Princess Hair Band(Silver),,Pink Chick,http://dl.flipkart.com/dl/pink-chick-princess-hair-band/p/itmejmh2bgnpdmgd?pid=HACEJMH2UMVDZCKT&affid=siddarthk,http://img.fkcdn.com/image/hair-accessory/c/k/t/83-1-pink-chick-princess-200x200-imaejjftgezfgkwz.jpeg,Health and Beauty>Hair Care>Hair Care Accessories>Hair Accessories,650.0,650.0,650.0,false,HACEJMH2UMVDZCKT,HACEJMH2UMVDZCKT
Flipkart,,Sastik woods Pain Juda Sticks Hair Pin(Brown),,Sastik woods,http://dl.flipkart.com/dl/sastik-woods-pain-juda-sticks-hair-pin/p/itmeh4pxeyx9uup4?pid=HACEH4PXSZQMWNAX&affid=siddarthk,http://img.fkcdn.com/image/hair-accessory/n/a/x/a006-1-sastik-woods-pain-juda-sticks-200x200-imaeh4zv3ezkqxme.jpeg,Health and Beauty>Hair Care>Hair Care Accessories>Hair Accessories,120.0,80.0,80.0,true,HACEH4PXSZQMWNAX,HACEH4PXSZQMWNAX
Flipkart,,Pankh Pankh Diamond Studded Floral Tiara Head Band(Gold),"Pankh Creation presents an exclusive range of intricately designed fashion jewelry in various captivating designs and colors and we make sure that our range of Fashion Jewerly will galvanize you and will definately add glow to your outfit because our product are antique, comfortable, eye-catching and fashion-forward.",Pankh,http://dl.flipkart.com/dl/pankh-diamond-studded-floral-tiara-head-band/p/itmeh3zcankzf4rx?pid=HACEH3ZCDW9DDGHR&affid=siddarthk,http://img.fkcdn.com/image/hair-accessory/g/h/r/hr-001-1-pankh-pankh-diamond-studded-floral-tiara-200x200-imaeh3xggxmmgnaf.jpeg,Health and Beauty>Hair Care>Hair Care Accessories>Hair Accessories,499.0,349.0,349.0,true,HACEH3ZCDW9DDGHR,HACEH3ZCDW9DDGHR
Flipkart,,Pankh Pankh Diamond Studded Polki Design Tiara Head Band(Gold),"Pankh Creation presents an exclusive range of intricately designed fashion jewelry in various captivating designs and colors and we make sure that our range of Fashion Jewerly will galvanize you and will definately add glow to your outfit because our product are antique, comfortable, eye-catching and fashion-forward.",Pankh,http://dl.flipkart.com/dl/pankh-diamond-studded-polki-design-tiara-head-band/p/itmeh3zcrhaty2r4?pid=HACEH3ZCH3UHNZWF&affid=siddarthk,http://img.fkcdn.com/image/hair-accessory/z/w/f/hr-003-1-pankh-pankh-diamond-studded-polki-design-tiara-200x200-imaeh3xeggzdtthz.jpeg,Health and Beauty>Hair Care>Hair Care Accessories>Hair Accessories,499.0,349.0,349.0,true,HACEH3ZCH3UHNZWF,HACEH3ZCH3UHNZWF
Flipkart,,Pankh Pankh Diamond Studded Floral Tiara Head Band(Gold),"Pankh Creation presents an exclusive range of intricately designed fashion jewelry in various captivating designs and colors and we make sure that our range of Fashion Jewerly will galvanize you and will definately add glow to your outfit because our product are antique, comfortable, eye-catching and fashion-forward.",Pankh,http://dl.flipkart.com/dl/pankh-diamond-studded-floral-tiara-head-band/p/itmeh3zchytfksf2?pid=HACEH3ZCU3AFCVJ3&affid=siddarthk,http://img.fkcdn.com/image/hair-accessory/v/j/3/hr-002-1-pankh-pankh-diamond-studded-floral-tiara-200x200-imaeh3xdfczgztbm.jpeg,Health and Beauty>Hair Care>Hair Care Accessories>Hair Accessories,499.0,299.0,299.0,true,HACEH3ZCU3AFCVJ3,HACEH3ZCU3AFCVJ3
Flipkart,,Bufferman Zig Zag Hair Band(Black),Metal Wire Hair Band for men and women for bending hairs.,Bufferman,http://dl.flipkart.com/dl/bufferman-zig-zag-hair-band/p/itmeh4qj7hbgqhs3?pid=HACEH4QJNDFJPD5Z&affid=siddarthk,http://img.fkcdn.com/image/hair-accessory/d/5/z/2bmhb-2-bufferman-zig-zag-200x200-imaeh43mnupnvbbz.jpeg,Health and Beauty>Hair Care>Hair Care Accessories>Hair Accessories,280.0,145.0,145.0,true,HACEH4QJNDFJPD5Z,HACEH4QJNDFJPD5Z
Flipkart,,"Trendz Collections Cluster Design Hair Clip(Green, Orange, Multicolor)",Light Green Colour Womens Hair Clip.It has 3 steps lock for accurate gripness to hair.It is suitable for all Indian attires.It can be weared for all occasion.The mettalic finish provide a royal look and with elegant design.The Alloy material withstand more wear and tear during the usage.,Trendz Collections,http://dl.flipkart.com/dl/trendz-collections-cluster-design-hair-clip/p/itmeh4kp6jvj7euy?pid=HACEH4KPT6JNZYFT&affid=siddarthk,http://img.fkcdn.com/image/hair-accessory/y/f/t/clip-clus-green-1-trendz-collections-cluster-design-200x200-imaeh4jeeqevmffc.jpeg,Health and Beauty>Hair Care>Hair Care Accessories>Hair Accessories,350.0,299.0,299.0,false,HACEH4KPT6JNZYFT,HACEH4KPT6JNZYFT
