PartnerName,Id,Title,Description,Brand,Link,ImageLink,CategoryName,Mrp,OfferPrice,EffectivePrice,Availability,PartnerIdFromUrl,PartnerIdFromDb
Flipkart,,Becca Matte Skin Shine Proof  Foundation,"A shine controlling makeup foundation With an emulsion texture that blends seamlessly with skin Formulated with Nylon-12 & Boron Nitride to provide a soft focus effect Reduces appearance of pore, fine lines & wrinkles Improves overall product application, adherence & wear Blended with Vitamins E & A for antioxidant benefits Offers a medium to buildable coverage Gives a satin, matte & long-lasting finish Perfect for combination to oily skin Free of oil, alcohol & fragrance, dermatologically-tested",Becca,http://dl.flipkart.com/dl/becca-matte-skin-shine-proof-foundation/p/itmegdyxkcryad7t?pid=FNDEGDZFV5XQRZ2S&affid=siddarthk,http://img.fkcdn.com/image/foundation/z/2/s/becca-matte-skin-shine-proof-foundation-200x200-imaegdjkjuvhskcm.jpeg,Health and Beauty>Makeup>Face>Foundations,3570.0,3485.0,3485.0,false,FNDEGDZFV5XQRZ2S,FNDEGDZFV5XQRZ2S
Flipkart,,Giorgio Armani Face Fabric Second Skin Nude Makeup SPF 12 Foundation,An invisible liquid make up with 3D micro-fil technology Provides sheer coverage & infinite layering Enhances a natural & healthy glow of the skin Accented with 2 shades – porcelain & apricot Combined with any shades to boost color Or wear alone to shape / highlight complexion Suitable for normal to oily skin,Giorgio Armani,http://dl.flipkart.com/dl/giorgio-armani-face-fabric-second-skin-nude-makeup-spf-12-foundation/p/itmegdywf8kztdgy?pid=FNDEGDYZHJRHBSFK&affid=siddarthk,http://img.fkcdn.com/image/foundation/s/f/k/giorgio-armani-face-fabric-second-skin-nude-makeup-spf-12-200x200-imaegdjjgbc2yshw.jpeg,Health and Beauty>Makeup>Face>Foundations,4675.0,4675.0,4675.0,false,FNDEGDYZHJRHBSFK,FNDEGDYZHJRHBSFK
Flipkart,,Cailyn BB Fluid Touch Compact Foundation,"A pretty all-in-one fluid cream to create a gorgeous, flawless complexion Moisture rich formula enriched with Vitamin E Helps hydrate, brighten, correct & hide skin imperfections Keeps skin dewy & luminous for a sleek finish Handy & distinctive compact design gives convenient application Comes with an eco-friendly refill cartridge to replace empty compact To use: Simply open the compact & press the button to dispense fluid cream, then apply product on face",Cailyn,http://dl.flipkart.com/dl/cailyn-bb-fluid-touch-compact-foundation/p/itmegdyx9naxnn9t?pid=FNDEGDZFXW5UMKHK&affid=siddarthk,http://img.fkcdn.com/image/foundation/n/c/k/cailyn-bb-fluid-touch-compact-200x200-imaegdjkwvkge8pc.jpeg,Health and Beauty>Makeup>Face>Foundations,2720.0,2635.0,2635.0,false,FNDEGDZFXW5UMKHK,FNDEGDZFXW5UMKHK
Flipkart,,Clarins Skin Illusion Natural Radiance Foundation SPF 10 Foundation,"An oil-free, light-reflecting, nourishing foundation Contains mineral & plant active ingredients to illuminate & moisturize skin Provides triple protection against free radicals, pollution & UV rays Offers a medium coverage Gives a satiny, naturally luminous finish Perfect for all skin types Dermatologist-tested, non-comedogenic",Clarins,http://dl.flipkart.com/dl/clarins-skin-illusion-natural-radiance-foundation-spf-10/p/itmegdyzkthgf6ad?pid=FNDEGEYNFA5WY8QZ&affid=siddarthk,http://img.fkcdn.com/image/foundation/8/q/z/clarins-skin-illusion-natural-radiance-foundation-spf-10-200x200-imaegdjkfbyu6qwb.jpeg,Health and Beauty>Makeup>Face>Foundations,3485.0,3358.0,3358.0,true,FNDEGEYNFA5WY8QZ,FNDEGEYNFA5WY8QZ
Flipkart,,Dermablend Cover Creme Broad Spectrum SPF 30 (High Color Coverage) Foundation,"A full coverage foundation for moderate to major skin flaws With a lightweight creamy texture that glides on evenly Formulated with high purity pigments that create natural skin tones Provides all day hydration & twelve hours of consistent color wear Gives full coverage of vitiligo, birthmarks, rosacea, burns, pigmentation disorders, post-operative bruising & scars Shields skin against harmful UV rays with SPF 30 Leaves skin fresh, supple, sleek & flawless looking",Dermablend,http://dl.flipkart.com/dl/dermablend-cover-creme-broad-spectrum-spf-30-high-color-coverage-foundation/p/itmegdyxbk5sbzzh?pid=FNDEGDZFWZ6FFYVZ&affid=siddarthk,http://img.fkcdn.com/image/foundation/y/v/z/dermablend-cover-creme-broad-spectrum-spf-30-high-color-coverage-200x200-imaegdjkfnkuftcj.jpeg,Health and Beauty>Makeup>Face>Foundations,3740.0,3740.0,3740.0,true,FNDEGDZFWZ6FFYVZ,FNDEGDZFWZ6FFYVZ
Flipkart,,Giorgio Armani Maestro Fusion Make Up Foundation SPF 15 Foundation,"A long-wearing, easy-to-use fluid foundation With an ultra-airy texture that glides on easily & adheres perfectly to skin Features a water & powder-free base that prevents a cakey finish Developed with smart patented Fusion Technology that seamlessly adjusts to skin tone Contains five time-released oils that evaporate at different rates Offers maximum color & hydration throughout the day Leaves skin supple & breathable Gives an even, natural, airbrushed, radiant & flawless finish Non-comedogenic",Giorgio Armani,http://dl.flipkart.com/dl/giorgio-armani-maestro-fusion-make-up-foundation-spf-15/p/itmegdywux4tzzww?pid=FNDEGDZYHG6EZAYR&affid=siddarthk,http://img.fkcdn.com/image/foundation/a/y/r/giorgio-armani-maestro-fusion-make-up-foundation-spf-15-200x200-imaegdjkpztht2yw.jpeg,Health and Beauty>Makeup>Face>Foundations,6205.0,6205.0,6205.0,false,FNDEGDZYHG6EZAYR,FNDEGDZYHG6EZAYR
Flipkart,,Giorgio Armani Designer Lift Smoothing Firming Foundation SPF20 Foundation,"A groundbreaking, protective fluid foundation Boasts Stretching Micro-fil TM technology that wraps face with an ultra-fine micro-lifting matrix Retains a high concentration of exclusive emollients & velvet filters Instantly stretches, softens & firms skin's surface Protects skin against harmful UV rays with SPF 20 Creates a lifted, satin & radiant complexion",Giorgio Armani,http://dl.flipkart.com/dl/giorgio-armani-designer-lift-smoothing-firming-foundation-spf20/p/itmegdywhcbppd4r?pid=FNDEGEYNZEZ6YWCU&affid=siddarthk,http://img.fkcdn.com/image/foundation/w/c/u/giorgio-armani-designer-lift-smoothing-firming-foundation-spf20-200x200-imaegdjk4hgryfk6.jpeg,Health and Beauty>Makeup>Face>Foundations,5993.0,5993.0,5993.0,false,FNDEGEYNZEZ6YWCU,FNDEGEYNZEZ6YWCU
Flipkart,,Becca Compact Concealer Medium & Extra Cover Foundation,"Contains 2 pigmented formulations in one compact Medium-cover is sheer & creamy for hiding under eye circles While extra-cover gives ultimate camouflage for blemishes, scars, birthmarks Easily glides onto skin enabling layering & mixing Loaded with anti-oxidant vitamins to fight against free radical damage Free of preservatives & parabens",Becca,http://dl.flipkart.com/dl/becca-compact-concealer-medium-extra-cover-foundation/p/itmegdywnmgtu2ny?pid=FNDEGEYNU3BZFFFU&affid=siddarthk,http://img.fkcdn.com/image/foundation/f/f/u/becca-compact-concealer-medium-extra-cover-200x200-imaegdjkcjs6xcyr.jpeg,Health and Beauty>Makeup>Face>Foundations,2380.0,808.0,808.0,true,FNDEGEYNU3BZFFFU,FNDEGEYNU3BZFFFU
Flipkart,,Yves Saint Laurent Radiant Touch/ Touche Eclat Foundation,An exclusive radiant touch highlighter Helps refresh your makeup while brightening up skin Incredibly reduces your skin's dullness Revives & nourishes your skin's natural glow Leaves your makeup looking flawless & radiant Suitable for all skin types,Yves Saint Laurent,http://dl.flipkart.com/dl/yves-saint-laurent-radiant-touch-touche-eclat-foundation/p/itmegdywpnzt6qgk?pid=FNDEGDYZKJ4GNPHF&affid=siddarthk,http://img.fkcdn.com/image/foundation/p/h/f/yves-saint-laurent-radiant-touch-touche-eclat-200x200-imaegdjkwxrcuq8c.jpeg,Health and Beauty>Makeup>Face>Foundations,3570.0,3485.0,3485.0,false,FNDEGDYZKJ4GNPHF,FNDEGDYZKJ4GNPHF
Flipkart,,Vincent Longo Liquid Canvas Healthy Fluid  Foundation,"Gives medium to full coverage Effortlessly blends on with sheer, silky texture Cucumber, aloe vera, wheat germ oil hydrate & soften skin Chamomile soothes skin & reduces irritation Vitamin E plus SPF 8 defend free radicals & UV rays Smoothes skin to fill-in lines, wrinkles & covers redness, sun freckles Leaves a soft, porcelain matte finish",Vincent Longo,http://dl.flipkart.com/dl/vincent-longo-liquid-canvas-healthy-fluid-foundation/p/itmegeynwfasnwgc?pid=FNDEGEYNUQZXC2F4&affid=siddarthk,http://img.fkcdn.com/image/foundation/2/f/4/vincent-longo-liquid-canvas-healthy-fluid-foundation-200x200-imaegdjjptsc5uhd.jpeg,Health and Beauty>Makeup>Face>Foundations,4165.0,3060.0,3060.0,true,FNDEGEYNUQZXC2F4,FNDEGEYNUQZXC2F4
