PartnerName,Id,Title,Description,Brand,Link,ImageLink,CategoryName,Mrp,OfferPrice,EffectivePrice,Availability,PartnerIdFromUrl,PartnerIdFromDb
Flipkart,,Susha Forsure Premium Glam Shine Waterproof Nail Polish Pack of 13-SM1_VNP129 10 ml(Multicolor),"Susha brand is a house hold name in the market since past decade. Dealing exclusively in high end quality products. Helping you build your professional and home life better.We have wide variety of products like Cheque book holder, Cosmetics, Gift sets, Office sets, Passport Holders, Organizers, Planners, File folders, Gents Wallets, Key-rings, Belts, Ladies wallets , Bags and many many more.Please feel free to go over our profile and don't forget to give us 5 Star rating if you like our products.",Susha Forsure,http://dl.flipkart.com/dl/susha-forsure-premium-glam-shine-waterproof-nail-polish-pack-13-sm1-vnp129-10-ml/p/itmemvzfmcnmhvm4?pid=NLPEMVZFMT5MVYSE&affid=siddarthk,http://img.fkcdn.com/image/nail-polish/y/s/e/susha-forsure-10-premium-glam-shine-waterproof-nail-polish-pack-200x200-imaemnmckg6bzq8u.jpeg,Health and Beauty>Makeup>Nails>Nail Polishes,1998.0,894.0,994.0,true,NLPEMVZFMT5MVYSE,NLPEMVZFMT5MVYSE
Flipkart,,Susha Forsure Premium Glam Shine Waterproof Nail Polish Combo-BDS|VNP156 117 ml(Multicolor),Susha Forsure Brings you perfect combo of bright sparks nail polish collection.Susha Forsure color show bright sparks collection presents eye-catching nail shades inspired by colors trending now Shades have been chosen by India’s most loved beauty bloggers.Has a flat-brush for smooth application.Give Your Nails A Fabulous Look By Applying These Nailpaints From Susha forsure. Stop worrying about your color chipping as this amazing nail color is chip-resistant. You need not worry about the color smudging as this nail color dries quickly within few seconds of its application.Bid Goodbye To Expensive Salon Manicures And Pedicures And Pamper Yourself At Home And Give Your Nails A Complete Look By Painting Them With These Beautiful Shades. You will look Great with This Susha Forsure Products.Directions for UseStart applying this nail color with the brush from the base and gently sweep towards the tip of your nail.Let it dry for few seconds.Then apply second coat for a neat finish.,Susha Forsure,http://dl.flipkart.com/dl/susha-forsure-premium-glam-shine-waterproof-nail-polish-combo-bds-vnp156-117-ml/p/itmemdajyusgbmkj?pid=NLPEMDAJGVGDCBCE&affid=siddarthk,http://img.fkcdn.com/image/nail-polish/b/c/e/susha-forsure-117-premium-glam-shine-waterproof-nail-polish-200x200-imaehq37pufz2b7g.jpeg,Health and Beauty>Makeup>Nails>Nail Polishes,1998.0,927.0,1031.0,true,NLPEMDAJGVGDCBCE,NLPEMDAJGVGDCBCE
Flipkart,,Susha Forsure Premium Glam Shine Waterproof Nail Polish Pack of 24-SL_VNP161TO172 10 ml(Multicolor),"Susha brand is a house hold name in the market since past decade. Dealing exclusively in high end quality products. Helping you build your professional and home life better.We have wide variety of products like Cheque book holder, Cosmetics, Gift sets, Office sets, Passport Holders, Organizers, Planners, File folders, Gents Wallets, Key-rings, Belts, Ladies wallets , Bags and many many more.Please feel free to go over our profile and don't forget to give us 5 Star rating if you like our products.",Susha Forsure,http://dl.flipkart.com/dl/susha-forsure-premium-glam-shine-waterproof-nail-polish-pack-24-sl-vnp161to172-10-ml/p/itmemvzekdrnejp2?pid=NLPEMVZEHETGUGUM&affid=siddarthk,http://img.fkcdn.com/image/nail-polish/g/u/m/susha-forsure-10-premium-glam-shine-waterproof-nail-polish-pack-200x200-imaemnmdjrwktgfn.jpeg,Health and Beauty>Makeup>Nails>Nail Polishes,2598.0,1321.0,1468.0,true,NLPEMVZEHETGUGUM,NLPEMVZEHETGUGUM
Flipkart,,Susha Forsure Premium Glam Shine Waterproof Nail Polish Combo-BDS|VNP164 117 ml(Multicolor),Susha Forsure Brings you perfect combo of bright sparks nail polish collection.Susha Forsure color show bright sparks collection presents eye-catching nail shades inspired by colors trending now Shades have been chosen by India’s most loved beauty bloggers.Has a flat-brush for smooth application.Give Your Nails A Fabulous Look By Applying These Nailpaints From Susha forsure. Stop worrying about your color chipping as this amazing nail color is chip-resistant. You need not worry about the color smudging as this nail color dries quickly within few seconds of its application.Bid Goodbye To Expensive Salon Manicures And Pedicures And Pamper Yourself At Home And Give Your Nails A Complete Look By Painting Them With These Beautiful Shades. You will look Great with This Susha Forsure Products.Directions for UseStart applying this nail color with the brush from the base and gently sweep towards the tip of your nail.Let it dry for few seconds.Then apply second coat for a neat finish.,Susha Forsure,http://dl.flipkart.com/dl/susha-forsure-premium-glam-shine-waterproof-nail-polish-combo-bds-vnp164-117-ml/p/itmemdajwaqq2jzd?pid=NLPEMDAJYEEGBTQG&affid=siddarthk,http://img.fkcdn.com/image/nail-polish/t/q/g/susha-forsure-117-premium-glam-shine-waterproof-nail-polish-200x200-imaehq38hetk9gby.jpeg,Health and Beauty>Makeup>Nails>Nail Polishes,1998.0,927.0,1031.0,true,NLPEMDAJYEEGBTQG,NLPEMDAJYEEGBTQG
Flipkart,,Susha Forsure Premium Glam Shine Waterproof Nail Polish Combo-BM1|VNP102 117 ml(Multicolor),Susha Forsure Brings you perfect combo of bright sparks nail polish collection.Susha Forsure color show bright sparks collection presents eye-catching nail shades inspired by colors trending now Shades have been chosen by India’s most loved beauty bloggers.Has a flat-brush for smooth application.Give Your Nails A Fabulous Look By Applying These Nailpaints From Susha forsure. Stop worrying about your color chipping as this amazing nail color is chip-resistant. You need not worry about the color smudging as this nail color dries quickly within few seconds of its application.Bid Goodbye To Expensive Salon Manicures And Pedicures And Pamper Yourself At Home And Give Your Nails A Complete Look By Painting Them With These Beautiful Shades. You will look Great with This Susha Forsure Products.Directions for UseStart applying this nail color with the brush from the base and gently sweep towards the tip of your nail.Let it dry for few seconds.Then apply second coat for a neat finish.,Susha Forsure,http://dl.flipkart.com/dl/susha-forsure-premium-glam-shine-waterproof-nail-polish-combo-bm1-vnp102-117-ml/p/itmemdajsfznhmux?pid=NLPEMDAJENGA3E5F&affid=siddarthk,http://img.fkcdn.com/image/nail-polish/e/5/f/susha-forsure-117-premium-glam-shine-waterproof-nail-polish-200x200-imaehq37yspd64n3.jpeg,Health and Beauty>Makeup>Nails>Nail Polishes,1998.0,927.0,1031.0,true,NLPEMDAJENGA3E5F,NLPEMDAJENGA3E5F
Flipkart,,Susha Forsure Premium Glam Shine Waterproof Nail Polish Pack of 13-SL_VNP112 10 ml(Multicolor),"Susha brand is a house hold name in the market since past decade. Dealing exclusively in high end quality products. Helping you build your professional and home life better.We have wide variety of products like Cheque book holder, Cosmetics, Gift sets, Office sets, Passport Holders, Organizers, Planners, File folders, Gents Wallets, Key-rings, Belts, Ladies wallets , Bags and many many more.Please feel free to go over our profile and don't forget to give us 5 Star rating if you like our products.",Susha Forsure,http://dl.flipkart.com/dl/susha-forsure-premium-glam-shine-waterproof-nail-polish-pack-13-sl-vnp112-10-ml/p/itmemvzfzfxsey2x?pid=NLPEMVZEFGYT8RZF&affid=siddarthk,http://img.fkcdn.com/image/nail-polish/r/z/f/susha-forsure-10-premium-glam-shine-waterproof-nail-polish-pack-200x200-imaemnmczxz6xyg2.jpeg,Health and Beauty>Makeup>Nails>Nail Polishes,1998.0,894.0,994.0,true,NLPEMVZEFGYT8RZF,NLPEMVZEFGYT8RZF
Flipkart,,Susha Forsure Premium Glam Shine Waterproof Nail Polish Pack of 13-SM2_VNP109 10 ml(Multicolor),"Susha brand is a house hold name in the market since past decade. Dealing exclusively in high end quality products. Helping you build your professional and home life better.We have wide variety of products like Cheque book holder, Cosmetics, Gift sets, Office sets, Passport Holders, Organizers, Planners, File folders, Gents Wallets, Key-rings, Belts, Ladies wallets , Bags and many many more.Please feel free to go over our profile and don't forget to give us 5 Star rating if you like our products.",Susha Forsure,http://dl.flipkart.com/dl/susha-forsure-premium-glam-shine-waterproof-nail-polish-pack-13-sm2-vnp109-10-ml/p/itmemvzh5ayvgkzr?pid=NLPEMVZHR8VBCVDU&affid=siddarthk,http://img.fkcdn.com/image/nail-polish/v/d/u/susha-forsure-10-premium-glam-shine-waterproof-nail-polish-pack-200x200-imaemnmdnetqhjzf.jpeg,Health and Beauty>Makeup>Nails>Nail Polishes,1998.0,894.0,994.0,true,NLPEMVZHR8VBCVDU,NLPEMVZHR8VBCVDU
Flipkart,,Susha Forsure Premium Glam Shine Waterproof Nail Polish Pack of 13-SD_VNP151 10 ml(Multicolor),"Susha brand is a house hold name in the market since past decade. Dealing exclusively in high end quality products. Helping you build your professional and home life better.We have wide variety of products like Cheque book holder, Cosmetics, Gift sets, Office sets, Passport Holders, Organizers, Planners, File folders, Gents Wallets, Key-rings, Belts, Ladies wallets , Bags and many many more.Please feel free to go over our profile and don't forget to give us 5 Star rating if you like our products.",Susha Forsure,http://dl.flipkart.com/dl/susha-forsure-premium-glam-shine-waterproof-nail-polish-pack-13-sd-vnp151-10-ml/p/itmemvzenran6njn?pid=NLPEMVZEYYUNNUYU&affid=siddarthk,http://img.fkcdn.com/image/nail-polish/u/y/u/susha-forsure-10-premium-glam-shine-waterproof-nail-polish-pack-200x200-imaemnmcj53mctbz.jpeg,Health and Beauty>Makeup>Nails>Nail Polishes,1998.0,894.0,994.0,true,NLPEMVZEYYUNNUYU,NLPEMVZEYYUNNUYU
Flipkart,,Susha Forsure Premium Glam Shine Waterproof Nail Polish Pack of 13-SM1_VNP127 10 ml(Multicolor),"Susha brand is a house hold name in the market since past decade. Dealing exclusively in high end quality products. Helping you build your professional and home life better.We have wide variety of products like Cheque book holder, Cosmetics, Gift sets, Office sets, Passport Holders, Organizers, Planners, File folders, Gents Wallets, Key-rings, Belts, Ladies wallets , Bags and many many more.Please feel free to go over our profile and don't forget to give us 5 Star rating if you like our products.",Susha Forsure,http://dl.flipkart.com/dl/susha-forsure-premium-glam-shine-waterproof-nail-polish-pack-13-sm1-vnp127-10-ml/p/itmemvzh4y9yzqnn?pid=NLPEMVZHPVEH6H57&affid=siddarthk,http://img.fkcdn.com/image/nail-polish/h/5/7/susha-forsure-10-premium-glam-shine-waterproof-nail-polish-pack-200x200-imaemnmcydcw6bqc.jpeg,Health and Beauty>Makeup>Nails>Nail Polishes,1998.0,894.0,994.0,true,NLPEMVZHPVEH6H57,NLPEMVZHPVEH6H57
Flipkart,,Susha Forsure Premium Glam Shine Waterproof Nail Polish Pack of 13-SM1_VNP162 10 ml(Multicolor),"Susha brand is a house hold name in the market since past decade. Dealing exclusively in high end quality products. Helping you build your professional and home life better.We have wide variety of products like Cheque book holder, Cosmetics, Gift sets, Office sets, Passport Holders, Organizers, Planners, File folders, Gents Wallets, Key-rings, Belts, Ladies wallets , Bags and many many more.Please feel free to go over our profile and don't forget to give us 5 Star rating if you like our products.",Susha Forsure,http://dl.flipkart.com/dl/susha-forsure-premium-glam-shine-waterproof-nail-polish-pack-13-sm1-vnp162-10-ml/p/itmemvzfmyrwbusm?pid=NLPEMVZFGZMQBHNZ&affid=siddarthk,http://img.fkcdn.com/image/nail-polish/h/n/z/susha-forsure-10-premium-glam-shine-waterproof-nail-polish-pack-200x200-imaemnmeugxug2zf.jpeg,Health and Beauty>Makeup>Nails>Nail Polishes,1998.0,894.0,994.0,true,NLPEMVZFGZMQBHNZ,NLPEMVZFGZMQBHNZ
